method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
QUBO-SB (K=10),knn,0.7794871794871795,0.1536189561705766,0.6603174603174603,0.2146088099194358,0.76,0.25099800796022265,0.61,0.260768096208106,0.7725,0.15338625671812978,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.036385034200066,0.004576024080725593
QUBO-SB (K=10),opf,0.6653846153846155,0.16370645302290693,0.44848484848484843,0.2797086244658018,0.5666666666666667,0.4346134936801766,0.4,0.2345207879911715,0.68,0.255998352045477,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.02297110600047745,0.00785726617857825
QUBO-SB (K=10),rf,0.6820512820512821,0.14593719885349474,0.5406060606060606,0.15956782772134812,0.680952380952381,0.30379310300450635,0.55,0.282842712474619,0.72375,0.2139381481877414,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.8758146941996529,0.12242191819247653
QUBO-SB (K=10),svm,0.7461538461538462,0.1570578229930417,0.3492063492063492,0.47830219597839246,0.36,0.4979959839195493,0.35,0.4873397172404482,0.5925,0.2701055927780837,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.04342645900032949,0.0018848758142442244
QUBO-SB (K=10),xgboost,0.6307692307692307,0.1396053185606272,0.40606060606060607,0.2608877969700713,0.5066666666666666,0.3699849846803095,0.4,0.2936835031117683,0.67375,0.23627976003035045,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.23061013640035527,0.0062941062292959675
QUBO-SB (K=100),catboost,0.7397435897435898,0.17447205985850256,0.46428571428571425,0.402479559628023,0.5166666666666666,0.38369548110737794,0.44000000000000006,0.41743262929483604,0.7787499999999999,0.19968725547715857,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,1.3328688320005313,0.9909716603762584
QUBO-SB (K=100),knn,0.6897435897435897,0.14295015521871451,0.44571428571428573,0.30878299625385824,0.5599999999999999,0.39609202073367866,0.39,0.29664793948382656,0.751875,0.17899458790700906,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,0.12423863419971895,0.06482062921187931
QUBO-SB (K=100),opf,0.5615384615384615,0.1554801052108301,0.2976190476190476,0.31248582734301633,0.36666666666666664,0.4149966532662911,0.32,0.4147288270665544,0.6275000000000001,0.30238634228417133,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,0.02176287479887833,0.006939999111824228
QUBO-SB (K=100),rf,0.7551282051282051,0.16383190821261423,0.55,0.37080992435478316,0.5833333333333333,0.3726779962499649,0.53,0.3768288736283354,0.7943749999999999,0.16808898313095955,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,0.835957102199609,0.05643420180959396
QUBO-SB (K=100),svm,0.7884615384615385,0.12707838206153216,0.601010101010101,0.37185576028686795,0.5933333333333334,0.3788872596902086,0.62,0.3898717737923586,0.78125,0.17710784144130942,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,0.04750356179938535,0.005654366170300533
QUBO-SB (K=100),xgboost,0.7410256410256411,0.17866110268353688,0.45,0.4472135954999579,0.45,0.4472135954999579,0.45,0.4472135954999579,0.7975,0.17469840082267496,0.9632,0.031911204928676724,8.785504866199336,0.27581035109850666,0.2810554905983736,0.029867358137987944
